,Unnamed: 0,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,class,status,year_of_violation,med_income,rich
0,0,231,ECHO PLACE,10457,BRONX,40.849717999999996,-73.90455,maintenance code violation,A,Open,2013,28148.16,0
1,1,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.83521800000001,maintenance code violation,B,Close,2013,81232.41,1
2,2,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.83521800000001,maintenance code violation,B,Close,2013,81232.41,1
3,3,2136,MAPES AVENUE,10460,BRONX,40.847751,-73.884561,maintenance code violation,B,Close,2015,25798.56,0
4,4,129,SENECA STREET,10310,STATEN ISLAND,40.631619,-74.117918,maintenance code violation,C,Close,2013,69865.51,1
5,5,129,SENECA STREET,10310,STATEN ISLAND,40.631619,-74.117918,maintenance code violation,B,Close,2013,69865.51,1
6,6,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Open,2013,59059.34,1
7,7,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,B,Open,2013,59059.34,1
8,8,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,B,Close,2013,27597.58,0
9,9,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013,27597.58,0
10,10,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013,27597.58,0
11,11,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013,27597.58,0
12,12,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013,27597.58,0
13,13,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Open,2013,59059.34,1
14,14,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,B,Open,2013,59059.34,1
15,15,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,B,Open,2013,59059.34,1
16,16,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Close,2014,58007.62,0
17,17,2913,MIDDLETOWN ROAD,10461,BRONX,40.843576,-73.83252,maintenance code violation,C,Close,2013,59059.34,1
18,18,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Open,2014,58007.62,0
19,19,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Open,2014,58007.62,0
20,20,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Open,2014,58007.62,0
21,21,3770,BROADWAY,10032,MANHATTAN,40.833830999999996,-73.945036,maintenance code violation,C,Close,2013,39000.58,0
22,22,1744,MERRILL STREET,10460,BRONX,40.836665999999994,-73.869713,maintenance code violation,A,Close,2021,31504.0,0
23,23,465,WEST 152 STREET,10031,MANHATTAN,40.829134,-73.943146,maintenance code violation,A,Close,2021,57180.0,0
24,24,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Open,2014,58007.62,0
25,25,1722,HOBART AVENUE,10461,BRONX,40.846160999999995,-73.830587,maintenance code violation,C,Close,2014,58007.62,0
26,26,265,EAST 78 STREET,10075,MANHATTAN,40.773035,-73.95642600000001,maintenance code violation,B,Close,2014,116151.84,1
27,27,265,EAST 78 STREET,10075,MANHATTAN,40.773035,-73.95642600000001,maintenance code violation,B,Close,2014,116151.84,1
28,28,37-40,81 STREET,11372,QUEENS,40.749307,-73.885187,maintenance code violation,A,Close,2021,62910.0,0
29,29,1215,AVENUE N,11230,BROOKLYN,40.615347,-73.962133,maintenance code violation,B,Close,2021,61017.0,0
30,30,888,EAST 96 STREET,11236,BROOKLYN,40.648016999999996,-73.906903,maintenance code violation,A,Close,2014,66787.06,1
31,31,364,LINCOLN PLACE,11238,BROOKLYN,40.67304,-73.96409399999999,maintenance code violation,B,Close,2021,114427.0,1
32,32,379,MENAHAN STREET,11237,BROOKLYN,40.701836,-73.913454,maintenance code violation,A,Close,2021,65908.0,0
33,33,1726,AMSTERDAM AVENUE,10031,MANHATTAN,40.825515,-73.947413,maintenance code violation,A,Close,2014,42578.9,0
34,34,195,MADISON STREET,10002,MANHATTAN,40.712608,-73.990549,maintenance code violation,A,Close,2021,37093.0,0
35,35,454,BARRETT AVENUE,10473,BRONX,40.815857,-73.854685,maintenance code violation,A,Close,2014,40791.92,0
36,36,109,EAST 153 STREET,10451,BRONX,40.823932,-73.928033,maintenance code violation,C,Close,2013,30184.61,0
37,37,2031,OCEAN AVENUE,11230,BROOKLYN,40.612377,-73.953858,maintenance code violation,B,Open,2019,55368.89,0
38,38,3195,DECATUR AVENUE,10467,BRONX,40.873825,-73.875588,maintenance code violation,B,Close,2013,40670.36,0
39,39,726,EAST 217 STREET,10467,BRONX,40.881836,-73.862573,maintenance code violation,A,Close,2013,40670.36,0
40,40,1101,CLARKSON AVENUE,11212,BROOKLYN,40.660149,-73.921621,maintenance code violation,B,Open,2013,31983.0,0
41,41,1101,CLARKSON AVENUE,11212,BROOKLYN,40.660149,-73.921621,maintenance code violation,B,Open,2013,31983.0,0
42,42,1064,MANOR AVENUE,10472,BRONX,40.825542999999996,-73.875585,maintenance code violation,A,Open,2013,34171.77,0
43,43,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,C,Close,2013,28148.16,0
44,44,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,B,Close,2013,28148.16,0
45,45,1101,CLARKSON AVENUE,11212,BROOKLYN,40.660149,-73.921621,maintenance code violation,B,Open,2013,31983.0,0
46,46,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.83521800000001,maintenance code violation,C,Close,2014,79568.06,1
47,47,1343,PROSPECT AVENUE,10459,BRONX,40.829714,-73.89746,maintenance code violation,B,Close,2014,25988.48,0
48,48,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,B,Close,2013,28148.16,0
49,49,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,B,Close,2013,28148.16,0
50,50,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,C,Close,2013,28148.16,0
51,51,2001,WOODBINE STREET,11385,QUEENS,40.70563,-73.903635,maintenance code violation,A,Close,2021,77350.0,1
52,52,72-06,69 STREET,11385,QUEENS,40.701545,-73.88274100000001,maintenance code violation,B,Close,2014,59482.52,1
53,53,72-06,69 STREET,11385,QUEENS,40.701545,-73.88274100000001,maintenance code violation,B,Close,2014,59482.52,1
54,54,72-06,69 STREET,11385,QUEENS,40.701545,-73.88274100000001,maintenance code violation,B,Close,2014,59482.52,1
55,55,505,MC DONALD AVENUE,11218,BROOKLYN,40.641882,-73.979249,maintenance code violation,B,Close,2013,59169.91,1
56,56,116-21,148 STREET,11436,QUEENS,40.681773,-73.79345699999999,maintenance code violation,C,Close,2013,70078.74,1
57,57,425,ROCKAWAY PARKWAY,11212,BROOKLYN,40.657636,-73.916225,maintenance code violation,A,Close,2020,30118.33,0
58,58,378,EAST 52 STREET,11203,BROOKLYN,40.651441,-73.92840600000001,maintenance code violation,A,Close,2020,59147.13,0
59,59,4535,PARK AVENUE,10457,BRONX,40.855498,-73.894857,maintenance code violation,A,Close,2020,33186.02,0
60,60,4535,PARK AVENUE,10457,BRONX,40.855498,-73.894857,maintenance code violation,A,Close,2020,33186.02,0
61,61,920,TAYLOR AVENUE,10473,BRONX,40.824236,-73.863653,maintenance code violation,A,Close,2020,49050.29,0
62,62,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.83521800000001,maintenance code violation,B,Close,2014,79568.06,1
63,63,177,CHRYSTIE STREET,10002,MANHATTAN,40.721071,-73.99234100000001,maintenance code violation,B,Open,2015,37489.0,0
64,64,177,CHRYSTIE STREET,10002,MANHATTAN,40.721071,-73.99234100000001,maintenance code violation,B,Open,2015,37489.0,0
65,65,177,CHRYSTIE STREET,10002,MANHATTAN,40.721071,-73.99234100000001,maintenance code violation,B,Open,2015,37489.0,0
66,66,225,23 STREET,11232,BROOKLYN,40.660628,-73.995235,maintenance code violation,C,Close,2020,75920.54,1
67,67,90-19,169 STREET,11432,QUEENS,40.708201,-73.791557,maintenance code violation,B,Close,2013,56919.1,0
68,68,97,NEPTUNE AVENUE,11235,BROOKLYN,40.582449,-73.957652,maintenance code violation,B,Close,2021,58669.0,0
69,69,97,NEPTUNE AVENUE,11235,BROOKLYN,40.582449,-73.957652,maintenance code violation,A,Open,2021,58669.0,0
70,70,97,NEPTUNE AVENUE,11235,BROOKLYN,40.582449,-73.957652,maintenance code violation,A,Open,2021,58669.0,0
71,71,97,NEPTUNE AVENUE,11235,BROOKLYN,40.582449,-73.957652,maintenance code violation,A,Open,2021,58669.0,0
72,72,97,NEPTUNE AVENUE,11235,BROOKLYN,40.582449,-73.957652,maintenance code violation,A,Open,2021,58669.0,0
73,73,1890,WALTON AVENUE,10453,BRONX,40.849519,-73.909293,maintenance code violation,C,Close,2021,34860.0,0
74,74,96,BRISTOL STREET,11212,BROOKLYN,40.66875,-73.912444,maintenance code violation,A,Open,2021,30733.0,0
75,75,552,WEST 185 STREET,10033,MANHATTAN,40.851277,-73.93101800000001,maintenance code violation,B,Close,2021,71630.0,1
76,76,552,WEST 185 STREET,10033,MANHATTAN,40.851277,-73.93101800000001,maintenance code violation,B,Close,2021,71630.0,1
77,77,228,BAY 43 STREET,11214,BROOKLYN,40.590734999999995,-73.98989300000001,maintenance code violation,A,Close,2021,58487.0,0
78,78,192,HEBERTON AVENUE,10302,STATEN ISLAND,40.635605,-74.13222900000001,maintenance code violation,C,Open,2021,73927.0,1
79,79,552,WEST 185 STREET,10033,MANHATTAN,40.851277,-73.93101800000001,maintenance code violation,B,Close,2021,71630.0,1
80,80,177,CHRYSTIE STREET,10002,MANHATTAN,40.721071,-73.99234100000001,maintenance code violation,B,Open,2015,37489.0,0
81,81,7801,3 AVENUE,11209,BROOKLYN,40.629183000000005,-74.028713,maintenance code violation,B,Open,2020,81508.6,1
82,82,177,CHRYSTIE STREET,10002,MANHATTAN,40.721071,-73.99234100000001,maintenance code violation,B,Open,2015,37489.0,0
83,83,177,CHRYSTIE STREET,10002,MANHATTAN,40.721071,-73.99234100000001,maintenance code violation,B,Open,2015,37489.0,0
84,84,552,WEST 185 STREET,10033,MANHATTAN,40.851277,-73.93101800000001,maintenance code violation,C,Close,2021,71630.0,1
85,85,552,WEST 185 STREET,10033,MANHATTAN,40.851277,-73.93101800000001,maintenance code violation,C,Close,2021,71630.0,1
86,86,552,WEST 185 STREET,10033,MANHATTAN,40.851277,-73.93101800000001,maintenance code violation,C,Close,2021,71630.0,1
87,87,640,KOSCIUSZKO STREET,11221,BROOKLYN,40.693785,-73.927921,maintenance code violation,I,Close,2015,45168.88,0
88,88,1115,JEROME AVENUE,10452,BRONX,40.834637,-73.924299,maintenance code violation,B,Close,2021,33877.0,0
89,89,2260,WASHINGTON AVENUE,10457,BRONX,40.854869,-73.893445,maintenance code violation,C,Close,2021,38066.0,0
90,90,218,EAST 79 STREET,10075,MANHATTAN,40.774012,-73.956678,maintenance code violation,I,Close,2015,124153.0,1
91,91,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,C,Close,2013,28148.16,0
92,92,1750,GRAND CONCOURSE,10457,BRONX,40.845765,-73.910292,maintenance code violation,B,Close,2013,28148.16,0
93,93,268,EAST 181 STREET,10457,BRONX,40.854185,-73.89984399999999,maintenance code violation,C,Close,2013,28148.16,0
94,94,560,WEST 160 STREET,10032,MANHATTAN,40.835397,-73.942262,maintenance code violation,B,Close,2013,39000.58,0
95,95,40,ARDEN STREET,10040,MANHATTAN,40.862066999999996,-73.927229,maintenance code violation,A,Close,2015,51354.8,0
96,96,560,WEST 160 STREET,10032,MANHATTAN,40.835397,-73.942262,maintenance code violation,B,Close,2013,39000.58,0
97,97,560,WEST 160 STREET,10032,MANHATTAN,40.835397,-73.942262,maintenance code violation,B,Close,2013,39000.58,0
98,98,150-36,118 AVENUE,11434,QUEENS,40.679851,-73.791599,maintenance code violation,C,Close,2013,66823.81,1
99,99,4424,10 AVENUE,11219,BROOKLYN,40.64164,-73.99600799999999,maintenance code violation,I,Close,2015,39987.82,0
