,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,class,status,year_of_violation
0,231,ECHO PLACE,10457,BRONX,40.849718,-73.90455,maintenance code violation,A,Open,2013
1,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.835218,maintenance code violation,B,Close,2013
2,77-54,AUSTIN STREET,11375,QUEENS,40.714368,-73.835218,maintenance code violation,B,Close,2013
3,2136,MAPES AVENUE,10460,BRONX,40.847751,-73.884561,maintenance code violation,B,Close,2015
4,129,SENECA STREET,10310,STATEN ISLAND,40.631619,-74.117918,maintenance code violation,C,Close,2013
5,129,SENECA STREET,10310,STATEN ISLAND,40.631619,-74.117918,maintenance code violation,B,Close,2013
6,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,C,Open,2013
7,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,B,Open,2013
8,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,B,Close,2013
9,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013
10,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013
11,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013
12,1141,TIFFANY STREET,10459,BRONX,40.82683,-73.894964,maintenance code violation,A,Close,2013
13,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,C,Open,2013
14,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,B,Open,2013
15,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,B,Open,2013
16,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,C,Close,2014
17,2913,MIDDLETOWN ROAD,10461,BRONX,40.843576,-73.83252,maintenance code violation,C,Close,2013
18,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,C,Open,2014
19,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,C,Open,2014
20,1722,HOBART AVENUE,10461,BRONX,40.846161,-73.830587,maintenance code violation,C,Open,2014
21,3770,BROADWAY,10032,MANHATTAN,40.833831,-73.945036,maintenance code violation,C,Close,2013
22,1744,MERRILL STREET,10460,BRONX,40.836666,-73.869713,maintenance code violation,A,Close,2021
