NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
06390,1,1,1,1,1,1,1,-1,0,0,0
10001,1,1,1,1,1,1,1,1,1,1,1
10002,0,0,0,0,0,0,0,0,0,0,0
10003,1,1,1,1,1,1,1,1,1,1,1
10004,1,1,1,1,1,1,1,1,1,1,1
10005,1,1,1,1,1,1,1,1,1,1,1
10006,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,1,1,1,1,1,1,1,1,1
10009,1,1,1,1,1,1,0,0,0,1,1
10010,1,1,1,1,1,1,1,1,1,1,1
10011,1,1,1,1,1,1,1,1,1,1,1
10012,1,1,1,1,1,1,1,1,1,1,1
10013,1,1,1,1,1,1,1,1,1,1,1
10014,1,1,1,1,1,1,1,1,1,1,1
10016,1,1,1,1,1,1,1,1,1,1,1
10017,1,1,1,1,1,1,1,1,1,1,1
10018,1,1,1,1,1,1,1,1,1,1,1
10019,1,1,1,1,1,1,1,1,1,1,1
10020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10021,1,1,1,1,1,1,1,1,1,1,1
10022,1,1,1,1,1,1,1,1,1,1,1
10023,1,1,1,1,1,1,1,1,1,1,1
10024,1,1,1,1,1,1,1,1,1,1,1
10025,1,1,1,1,1,1,1,1,1,1,1
10026,0,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,0,0,0
10028,1,1,1,1,1,1,1,1,1,1,1
10029,0,0,0,0,0,0,0,0,0,0,0
10030,0,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0,1
10034,0,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0,0
10036,1,1,1,1,1,1,1,1,1,1,1
10037,0,0,0,0,0,0,0,0,0,0,0
10038,1,1,1,1,1,1,1,1,1,1,1
10039,0,0,0,0,0,0,0,0,0,0,0
10040,0,0,0,0,0,0,0,0,0,0,0
10044,1,1,1,1,1,1,1,1,1,1,1
10065,1,1,1,1,1,1,1,1,1,1,1
10069,1,1,1,1,1,1,1,1,1,1,1
10075,1,1,1,1,1,1,1,1,1,1,1
10103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10128,1,1,1,1,1,1,1,1,1,1,1
10152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10162,1,1,1,1,1,1,1,1,1,1,1
10165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
