NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
06390,151250,146917,149554,151333,151083,152652,150703,-,61125,46250,46250
10001,67795,76138,81671,81445,86801,85168,85221,88526,92840,96787,101409
10002,32407,32265,33218,32966,33726,35594,35449,35859,36982,35607,37093
10003,88601,91767,92540,97524,98151,100791,104441,112131,118161,129981,137533
10004,127448,127281,129313,123409,119691,123056,140450,157645,190223,204949,216017
10005,117885,120729,124670,121840,124194,130116,154213,173333,189702,184681,197188
10006,111617,115787,119274,121316,123691,125364,145893,176250,179044,185268,200536
10007,191900,210125,216037,"250,000+","250,000+",234958,242644,246813,224063,"250,000+","250,000+"
10009,55316,59034,59929,61154,59090,60788,60521,61548,63717,68220,77551
10010,94242,95556,97955,100763,101718,110142,115084,117923,132988,139188,131635
10011,99700,101515,104238,104974,109818,114134,123208,128613,138272,136208,139343
10012,77072,77853,86594,95577,100859,101815,104561,109037,106467,110490,117581
10013,64806,68790,83725,97228,96667,104167,106056,105442,113191,130675,137572
10014,102747,105144,108483,109557,113973,119026,127973,126601,133501,136154,136559
10016,102796,101979,105324,103960,104826,102703,109250,117004,126628,124647,136431
10017,105974,108250,100652,102165,106421,106795,118469,127506,131045,130417,136112
10018,84850,87813,104635,100298,105500,105479,107861,108914,122484,136360,130457
10019,79508,80519,84424,90174,94022,94477,99063,98833,103792,101651,105538
10020,-,-,-,-,-,-,-,-,-,-,-
10021,109343,106236,107907,109398,115076,115681,123842,118289,122169,130968,136060
10022,109625,106888,109019,115604,126378,123693,133208,135363,150718,138661,156255
10023,105260,105311,103534,111265,111478,115080,123951,130452,132605,137347,136109
10024,111582,110091,109956,109784,113839,118594,126107,131668,143623,137126,153177
10025,64592,68463,68516,71865,74065,80025,82352,85930,91624,99067,103440
10026,39574,42058,43107,47318,47264,52082,54349,58884,59691,64716,65038
10027,35157,35694,37872,40013,40782,42754,45536,46113,51938,57010,58435
10028,107885,107976,104638,115485,114939,111302,119203,125140,122969,131013,149789
10029,31851,31254,31888,31446,31350,32500,34015,34016,33720,33801,33901
10030,29063,30674,31925,32561,33196,33720,36118,37232,42348,45555,42834
10031,36188,36495,37655,38338,39774,41848,44040,49891,53660,55721,57180
10032,35079,36095,34568,35979,37280,40054,41890,50391,53525,53690,55059
10033,40625,41352,41556,44595,44933,46349,53044,58614,63093,66902,71630
10034,42919,43049,41171,42522,42581,45643,50909,54716,54406,63556,63851
10035,26365,26214,24533,26764,27424,26893,27932,30081,29799,28408,32555
10036,62997,64013,66599,70625,75966,83812,93707,91936,95301,97720,98177
10037,40681,39897,37341,37000,35491,39463,39979,45041,46263,50686,48782
10038,65473,65934,66074,73988,76379,82910,85032,86058,95702,95640,99924
10039,34096,35710,33595,33132,33558,32257,34197,39653,42278,41363,50164
10040,37244,40385,42721,46944,46200,45811,47189,47137,49677,53199,54700
10044,76250,75325,83066,95259,91383,86483,92623,100441,104808,112658,115294
10065,111334,109960,115519,110163,112869,118310,124322,127375,148441,153002,152335
10069,165417,186569,170630,172926,163750,155702,137105,110625,132500,130556,183178
10075,99438,100206,102941,104583,111691,114481,129594,137146,138640,123854,131372
10103,-,-,-,-,-,-,-,-,-,-,-
10110,-,-,-,-,-,-,-,-,-,-,-
10111,-,-,-,-,-,-,-,-,-,-,-
10112,-,-,-,-,-,-,-,-,-,-,-
10115,-,-,-,-,-,-,-,-,-,-,-
10119,-,-,-,-,-,-,-,-,-,-,-
10128,97132,96974,96296,100649,100200,103817,111937,114010,121829,117926,127919
10152,-,-,-,-,-,-,-,-,-,-,-
10153,-,-,-,-,-,-,-,-,-,-,-
10154,-,-,-,-,-,-,-,-,-,-,-
10162,181417,165917,168667,193238,193510,178822,182530,188880,152336,96555,99300
10165,-,-,-,-,-,-,-,-,-,-,-
10167,-,-,-,-,-,-,-,-,-,-,-
10168,-,-,-,-,-,-,-,-,-,-,-
10169,-,-,-,-,-,-,-,-,-,-,-
10170,-,-,-,-,-,-,-,-,-,-,-
10171,-,-,-,-,-,-,-,-,-,-,-
10172,-,-,-,-,-,-,-,-,-,-,-
10173,-,-,-,-,-,-,-,-,-,-,-
10174,-,-,-,-,-,-,-,-,-,-,-
10177,-,-,-,-,-,-,-,-,-,-,-
10199,-,-,-,-,-,-,-,-,-,-,-
10271,-,-,-,-,-,-,-,-,-,-,-
10278,-,-,-,-,-,-,-,-,-,-,-
10279,-,-,-,-,-,-,-,-,-,-,-
10280,135199,125830,129574,143636,145432,146875,161419,169844,182760,170385,178148
10282,232031,233409,230952,245556,"250,000+","250,000+","250,000+","250,000+","250,000+","250,000+","250,000+"
10301,53943,54792,56848,60278,54605,55700,55818,55802,62052,70065,78053
10302,56518,56883,56841,54150,54170,55864,60968,64103,66096,72394,73927
10303,54956,50137,51537,52826,52553,55198,59898,62558,67215,70315,69879
10304,53847,51852,53168,53762,54106,53843,54567,52199,54199,64394,64539
10305,63401,66478,70758,70763,72782,74063,76044,76489,79742,77136,76833
10306,77767,77720,75807,79152,79686,78745,80025,79569,80834,83309,88687
10307,87121,86011,86457,86688,76857,77278,81356,80893,85103,108808,117469
10308,88342,90196,88075,85814,87174,87493,91953,93963,103027,110478,116082
10309,82905,86759,86297,87536,87509,93248,100343,103175,109457,102730,107500
10310,63808,62457,61925,64724,68080,69201,69838,72093,76075,86895,96161
10311,-,-,-,-,-,-,-,-,-,-,-
10312,86415,87426,85324,87946,84584,88567,90797,95064,97407,96785,100875
10314,78803,79820,77242,78962,77331,77761,80956,86742,91505,90306,94578
10451,25044,26541,26754,27197,26048,26419,26979,28921,30349,32598,33945
10452,27040,26636,25979,24965,24790,25771,27206,28277,29579,31351,33877
10453,26574,26120,25470,24741,23095,22914,24421,25275,29136,31778,34860
10454,19840,19271,20232,19536,20210,21553,21542,21149,21447,23337,21846
10455,23830,21379,22609,22996,23253,23962,25489,26801,28585,29439,30741
10456,22549,22604,23452,22962,23956,25868,26724,27106,27917,31645,31166
10457,24537,24445,24949,24883,24750,25967,27036,27420,29767,32378,38066
10458,25027,24478,24618,24829,27912,30339,32129,33932,35423,37886,38768
10459,22458,21913,24461,23400,23761,24805,25762,27687,29284,31896,36631
10460,24307,22625,22307,23289,23209,24086,25948,26866,27545,28831,31504
10461,51147,50329,52347,52230,51568,55332,55847,56612,58305,60802,61087
10462,45025,46001,45864,45234,45760,48315,49962,52409,54278,57266,59032
10463,52505,53282,54258,55354,56482,56568,58881,58551,58408,60397,63048
10464,67273,61063,70078,75696,75208,76917,87853,93365,96366,101935,118972
10465,66216,63352,65450,68831,73776,73068,74079,74796,75617,74889,80245
10466,45737,44038,44012,42587,42478,44354,49906,51477,58393,58405,62918
10467,35404,35358,36048,35852,35117,34964,35381,37015,39372,40639,42639
10468,31707,32985,33776,33585,34784,34988,35398,36046,37804,37777,40138
10469,56352,55724,57776,57680,57207,57124,61090,63652,65399,67190,70415
10470,52510,56058,58600,58330,57706,58839,56658,57160,61266,64643,70107
10471,72431,71286,71798,73684,80222,81594,80932,85707,88722,93657,96368
10472,30413,31594,30288,30541,29308,29934,30593,30977,33498,36038,36730
10473,39818,37616,35866,36729,36764,36686,38924,41638,41508,47856,48212
10474,22403,23297,25676,26460,26585,26901,25896,25493,22965,28419,33157
10475,47767,45460,43629,45886,44923,46340,48734,50832,51951,53819,56327
10501,139712,137188,143529,141500,141563,130313,146250,197321,215515,"250,000+",237361
10502,131184,155365,135139,142679,157132,161734,159444,163902,167195,199904,226848
10503,230625,214327,135192,139911,(X),-,-,-,80347,-,86964
10504,178364,178409,182292,200000,205912,213688,213234,208275,212121,214414,229671
10505,122159,152500,167885,178333,143750,118333,-,-,143000,112143,150179
10506,175307,173625,180823,185372,206207,194917,217607,222500,224167,186000,220469
10507,73618,69238,70557,70684,64351,66106,56736,64500,69852,79471,83359
10509,91322,94885,90437,90959,94226,94768,97286,102372,104568,108372,111376
10510,162399,165469,144414,153613,146723,153152,160944,167847,174881,177143,190368
10511,87454,85368,89107,93977,98370,99479,107201,109375,109375,111313,118984
10512,90874,91456,87802,92067,90095,90585,92945,97363,98091,94985,101924
10514,206793,213750,202414,207733,212528,244527,"250,000+","250,000+","250,000+","250,000+",246991
10516,75604,76719,81442,84966,92381,93750,101071,102841,107171,113494,119980
10517,88167,89028,90200,91481,89250,100313,90125,72067,105357,97375,78750
10518,181563,186607,192045,214688,187898,190058,193472,198255,175750,139112,-
10519,119783,122098,124208,126089,(X),-,-,148375,156411,158565,-
10520,93819,102473,102807,98552,101932,94261,100417,105670,110094,113175,120769
10522,104170,106989,105000,113062,116671,120631,126988,138477,143462,145000,136204
10523,77877,79789,81667,87042,87353,90406,93033,98700,100816,103903,110420
10524,108036,110820,114760,118409,119583,115833,125912,122419,124006,121691,123426
10526,144118,130192,101750,109821,122250,123571,123357,125801,139671,193482,202823
10527,199688,194773,194872,196300,152212,144286,158977,161583,183824,196458,207917
10528,107507,97500,99888,106912,105570,110417,116026,120846,112437,125922,134458
10530,94342,93320,92923,97682,102317,101553,103950,108817,109315,99092,104090
10532,110375,109891,110484,109815,105739,97125,100278,99167,110417,116750,121489
10533,121506,123790,131522,139359,139574,135697,142869,144121,158860,163859,204118
10535,89279,88259,90500,56860,53636,65147,65294,-,-,142050,146635
10536,143000,155802,153750,155658,157875,161650,168490,175833,183365,183793,198919
10537,77874,80432,81259,80380,77396,73235,100729,103021,99565,99757,103854
10538,149347,155000,160964,158258,152500,153750,165735,177553,196944,193085,203932
10541,103244,105798,106890,108082,107901,109076,107296,107258,107180,113833,120397
10543,87869,88136,87316,88942,83827,82265,94246,99124,104252,109907,119900
10545,-,-,-,-,-,-,-,-,-,-,-
